density,E,spp
7.00E+05,2.091,pdam
1.41E+06,1.2595,pdam
2.40E+06,1.3179,pdam
3.84E+06,0.7825,pdam
7.76E+06,0.4154,pdam
7.00E+05,1.2008,shys
1.41E+06,0.9553,shys
2.40E+06,0.8209,shys
3.84E+06,0.6341,shys
7.76E+06,0.3486,shys
7.00E+05,0.9263,plob
1.41E+06,0.8144,plob
2.40E+06,0.6874,plob
3.84E+06,0.5377,plob
7.76E+06,0.2892,plob
